item_id,title,transcript_url,recording_year,branch,download_status,local_path
afc2001001_00870,Elmer R. Cheh Collection,https://tile.loc.gov/storage-services/service/vhp/0008/000870/sr0001.xml,2002,army,ok,data\vhp_transcripts\afc2001001_00870.xml
afc2001001_52697,Thomas F. McLaughlin Collection,https://tile.loc.gov/storage-services/service/vhp/0526/052697/mv0001.xml,2008,army,ok,data\vhp_transcripts\afc2001001_52697.xml
afc2001001_11293,Edward J. Langa Collection,https://tile.loc.gov/storage-services/service/vhp/0112/011293/sr0001.xml,2004,army,ok,data\vhp_transcripts\afc2001001_11293.xml
afc2001001_53604,Alfred C. Anderson Collection,https://tile.loc.gov/storage-services/service/vhp/0536/053604/mv0001.xml,2008,army air forces/corps,ok,data\vhp_transcripts\afc2001001_53604.xml
afc2001001_02759,Morgan Vaux Collection,https://tile.loc.gov/storage-services/service/vhp/0027/002759/sr0001.xml,2002,army air forces/corps,ok,data\vhp_transcripts\afc2001001_02759.xml
afc2001001_02453,John H. Flack Collection,https://tile.loc.gov/storage-services/service/vhp/0024/002453/sr0001.xml,2002,marine corps,ok,data\vhp_transcripts\afc2001001_02453.xml
afc2001001_30844,Ann Caracristi Collection,https://tile.loc.gov/storage-services/service/vhp/0308/030844/mv0001.xml,2005,unknown,ok,data\vhp_transcripts\afc2001001_30844.xml
afc2001001_48902,Raymond Jervis Cooke Collection,https://tile.loc.gov/storage-services/service/vhp/0489/048902/mv0001.xml,2007,navy,ok,data\vhp_transcripts\afc2001001_48902.xml
afc2001001_05231,Baruch Zaremsky Collection,https://tile.loc.gov/storage-services/service/vhp/0052/005231/sr0001.xml,2003,navy,ok,data\vhp_transcripts\afc2001001_05231.xml
afc2001001_23379,Frederick B. Wolfe Collection,https://tile.loc.gov/storage-services/service/vhp/0233/023379/sr0001.xml,2005,army,ok,data\vhp_transcripts\afc2001001_23379.xml
afc2001001_20707,Albert H. Zimmerman Collection,https://tile.loc.gov/storage-services/service/vhp/0207/020707/sr0001.xml,2004,army,ok,data\vhp_transcripts\afc2001001_20707.xml
afc2001001_00151,Jay S. Adams Collection,https://tile.loc.gov/storage-services/service/vhp/0001/000151/sr0001.xml,2002,army,ok,data\vhp_transcripts\afc2001001_00151.xml
afc2001001_09517,George D. Schlee Collection,https://tile.loc.gov/storage-services/service/vhp/0095/009517/sr0001.xml,2004,marine corps,ok,data\vhp_transcripts\afc2001001_09517.xml
afc2001001_00464,Lionel N. Heath Collection,https://tile.loc.gov/storage-services/service/vhp/0004/000464/sr0001.xml,2002,army,ok,data\vhp_transcripts\afc2001001_00464.xml
afc2001001_00145,Clarence O. Swope Collection,https://tile.loc.gov/storage-services/service/vhp/0001/000145/sr0001.xml,2002,army,ok,data\vhp_transcripts\afc2001001_00145.xml
afc2001001_00855,Glen R. Lindstrom Collection,https://tile.loc.gov/storage-services/service/vhp/0008/000855/sr0001.xml,2002,army,ok,data\vhp_transcripts\afc2001001_00855.xml
afc2001001_04404,Ernest M. Phillips Collection,https://tile.loc.gov/storage-services/service/vhp/0044/004404/sr0001.xml,2003,marine corps,ok,data\vhp_transcripts\afc2001001_04404.xml
afc2001001_26610,Jane A. La Mar Collection,https://tile.loc.gov/storage-services/service/vhp/0266/026610/mv0001.xml,2005,wasp (women airforce service pilots),ok,data\vhp_transcripts\afc2001001_26610.xml
afc2001001_00467,Gilbert Lawrinson Collection,https://tile.loc.gov/storage-services/service/vhp/0004/000467/sr0001.xml,2002,navy,ok,data\vhp_transcripts\afc2001001_00467.xml
afc2001001_33684,John Sobonya Collection,https://tile.loc.gov/storage-services/service/vhp/0336/033684/sr0001.xml,2006,army,ok,data\vhp_transcripts\afc2001001_33684.xml
afc2001001_04747,Prudence Burrell Collection,https://tile.loc.gov/storage-services/service/vhp/0047/004747/sr0001.xml,2003,army nurse corps,ok,data\vhp_transcripts\afc2001001_04747.xml
afc2001001_53539,"John Victor Hawkins, Sr. Collection",https://tile.loc.gov/storage-services/service/vhp/0535/053539/mv0001.xml,2008,army,ok,data\vhp_transcripts\afc2001001_53539.xml
afc2001001_13862,"Andrew Melendrez, Sr. Collection",https://tile.loc.gov/storage-services/service/vhp/0138/013862/pn0001.xml,2005,army,ok,data\vhp_transcripts\afc2001001_13862.xml
afc2001001_05233,Gabriel J. Andrasovsky Collection,https://tile.loc.gov/storage-services/service/vhp/0052/005233/sr0001.xml,2003,army,ok,data\vhp_transcripts\afc2001001_05233.xml
afc2001001_10466,Robert Lynn Maurer Collection,https://tile.loc.gov/storage-services/service/vhp/0104/010466/sr0001.xml,2004,marine corps,ok,data\vhp_transcripts\afc2001001_10466.xml
afc2001001_00137,Robert W. Miller Collection,https://tile.loc.gov/storage-services/service/vhp/0001/000137/sr0001.xml,2002,army,ok,data\vhp_transcripts\afc2001001_00137.xml
afc2001001_00461,John J. Primeau Collection,https://tile.loc.gov/storage-services/service/vhp/0004/000461/sr0001.xml,2002,army air forces/corps,ok,data\vhp_transcripts\afc2001001_00461.xml
afc2001001_20716,Arthur L. Jaklic Collection,https://tile.loc.gov/storage-services/service/vhp/0207/020716/sr0001.xml,2004,navy,ok,data\vhp_transcripts\afc2001001_20716.xml
afc2001001_01696,Bert Cowan Collection,https://tile.loc.gov/storage-services/service/vhp/0016/001696/sr0001.xml,2002,army,ok,data\vhp_transcripts\afc2001001_01696.xml
afc2001001_01695,Robert J. Singleton Collection,https://tile.loc.gov/storage-services/service/vhp/0016/001695/sr0001.xml,2002,army,ok,data\vhp_transcripts\afc2001001_01695.xml
